2018-04-26 18:08:15 status unpacked libattr1:amd64 1:2.4.47-2build1
2018-04-26 18:08:15 status unpacked libattr1:amd64 1:2.4.47-2build1
2018-04-26 18:08:15 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2018-04-26 18:08:15 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:08:15 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:15 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:15 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:15 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2018-04-26 18:08:15 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2018-04-26 18:08:15 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-04-26 18:08:15 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-04-26 18:08:15 install libc-bin:amd64 <none> 2.27-3ubuntu1
2018-04-26 18:08:15 status half-installed libc-bin:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:08:15 status half-configured libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status half-installed libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status half-installed libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:15 install libcap-ng0:amd64 <none> 0.7.7-3.1
2018-04-26 18:08:15 status half-installed libcap-ng0:amd64 0.7.7-3.1
2018-04-26 18:08:15 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-04-26 18:08:15 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-04-26 18:08:15 install libcom-err2:amd64 <none> 1.44.1-1
2018-04-26 18:08:15 status half-installed libcom-err2:amd64 1.44.1-1
2018-04-26 18:08:15 status unpacked libcom-err2:amd64 1.44.1-1
2018-04-26 18:08:15 status unpacked libcom-err2:amd64 1.44.1-1
2018-04-26 18:08:15 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2018-04-26 18:08:15 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-04-26 18:08:16 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-04-26 18:08:16 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2018-04-26 18:08:16 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2018-04-26 18:08:16 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2018-04-26 18:08:16 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2018-04-26 18:08:16 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2018-04-26 18:08:16 install libext2fs2:amd64 <none> 1.44.1-1
2018-04-26 18:08:16 status half-installed libext2fs2:amd64 1.44.1-1
2018-04-26 18:08:16 status unpacked libext2fs2:amd64 1.44.1-1
2018-04-26 18:08:16 status unpacked libext2fs2:amd64 1.44.1-1
2018-04-26 18:08:16 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2018-04-26 18:08:16 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2018-04-26 18:08:16 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2018-04-26 18:08:16 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2018-04-26 18:08:16 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2018-04-26 18:08:16 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2018-04-26 18:08:16 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2018-04-26 18:08:16 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2018-04-26 18:08:16 install libgpg-error0:amd64 <none> 1.27-6
2018-04-26 18:08:16 status half-installed libgpg-error0:amd64 1.27-6
2018-04-26 18:08:16 status unpacked libgpg-error0:amd64 1.27-6
2018-04-26 18:08:16 status unpacked libgpg-error0:amd64 1.27-6
2018-04-26 18:08:16 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2018-04-26 18:08:16 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2018-04-26 18:08:16 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2018-04-26 18:08:16 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2018-04-26 18:08:16 install liblzma5:amd64 <none> 5.2.2-1.3
2018-04-26 18:08:16 status half-installed liblzma5:amd64 5.2.2-1.3
2018-04-26 18:08:16 status unpacked liblzma5:amd64 5.2.2-1.3
2018-04-26 18:08:16 status unpacked liblzma5:amd64 5.2.2-1.3
2018-04-26 18:08:16 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 install libncurses5:amd64 <none> 6.1-1ubuntu1
2018-04-26 18:08:16 status half-installed libncurses5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 status unpacked libncurses5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 status unpacked libncurses5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2018-04-26 18:08:16 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2018-04-26 18:08:16 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2018-04-26 18:08:16 install libpcre3:amd64 <none> 2:8.39-9
2018-04-26 18:08:16 status half-installed libpcre3:amd64 2:8.39-9
2018-04-26 18:08:16 status unpacked libpcre3:amd64 2:8.39-9
2018-04-26 18:08:16 status unpacked libpcre3:amd64 2:8.39-9
